measurement_id,group,x,y
M00890,beta,69.504,143.506
M00891,alpha,74.143,139.149
M00892,beta,97.521,185.974
M00893,beta,20.026,57.85
M00894,alpha,83.811,140.716
M00895,gamma,49.911,81.741
M00896,gamma,27.297,18.772
M00897,gamma,94.323,148.782
M00898,beta,98.752,206.733
M00899,gamma,27.889,40.848
M00900,beta,48.934,97.38
M00901,alpha,62.837,116.752
M00902,alpha,83.031,153.57
M00903,beta,67.811,148.664
M00904,gamma,32.696,46.795
M00905,beta,62.197,130.892
M00906,gamma,76.757,130.887
M00907,beta,20.193,44.038
M00908,beta,54.244,100.78
M00909,gamma,54.662,91.299
M00910,beta,88.013,172.531
M00911,alpha,38.363,64.452
M00912,beta,3.598,32.191
M00913,alpha,55.667,106.718
M00914,gamma,16.414,11.703
M00915,beta,13.449,36.243
M00916,alpha,56.886,88.841
M00917,beta,66.008,127.638
M00918,beta,56.226,101.84
M00919,alpha,50.669,80.324
M00920,beta,61.694,134.892
M00921,beta,76.647,152.047
M00922,gamma,4.512,2.295
M00923,beta,34.888,77.659
M00924,gamma,34.126,48.628
M00925,alpha,42.815,89.417
M00926,alpha,66.124,118.398
M00927,alpha,23.462,40.308
M00928,gamma,6.55,6.466
M00929,beta,11.447,42.811
M00930,alpha,46.091,96.03
M00931,beta,56.805,124.943
M00932,gamma,46.97,69.059
M00933,alpha,98.576,168.852
M00934,gamma,9.773,15.886
M00935,beta,10.006,28.088
M00936,gamma,81.146,126.384
M00937,gamma,33.954,42.555
M00938,beta,20.176,43.785
M00939,gamma,84.733,147.837
M00940,gamma,21.408,6.169
M00941,beta,4.753,35.721
M00942,alpha,62.457,112.134
M00943,alpha,71.771,115.023
M00944,beta,6.727,19.529
M00945,gamma,47.527,80.901
M00946,gamma,82.374,158.978
M00947,gamma,80.413,121.099
M00948,alpha,41.431,80.694
M00949,beta,62.496,107.991
M00950,alpha,88.09,164.464
M00951,gamma,70.333,126.836
M00952,alpha,66.081,106.992
M00953,gamma,93.81,156.934
M00954,gamma,85.277,160.495
M00955,beta,93.464,182.618
M00956,alpha,36.427,61.397
M00957,alpha,24.037,42.809
M00958,beta,41.026,68.414
M00959,alpha,63.393,119.47
M00960,beta,64.604,123.498
M00961,beta,68.685,139.404
M00962,alpha,19.192,43.37
M00963,alpha,79.704,138.332
M00964,beta,42.202,103.807
M00965,alpha,20.199,35.943
M00966,beta,65.867,136.449
M00967,alpha,64.429,134.514
M00968,alpha,5.533,14.998
M00969,alpha,31.39,55.211
M00970,beta,89.677,180.572
M00971,gamma,65.743,132.572
M00972,gamma,84.275,157.14
M00973,alpha,11.193,17.431
M00974,gamma,66.422,81.796
M00975,gamma,94.967,169.249
M00976,alpha,23.808,39.044
M00977,alpha,77.319,130.376
M00978,gamma,38.995,81.093
M00979,gamma,74.396,131.647
M00980,alpha,17.515,28.209
M00981,beta,43.948,93.673
M00982,beta,53.347,127.032
M00983,gamma,94.871,155.656
M00984,gamma,24.635,45.86
M00985,beta,87.943,183.812
M00986,gamma,36.774,51.797
M00987,beta,2.107,34.812
M00988,gamma,66.222,105.809
M00989,alpha,69.068,126.467
M00990,gamma,38.469,50.624
M00991,gamma,95.848,148.235
M00992,alpha,53.491,112.941
M00993,alpha,85.765,134.258
M00994,beta,92.751,198.924
M00995,beta,30.089,87.742
M00996,beta,21.039,45.012
M00997,alpha,91.589,148.116
M00998,gamma,40.629,44.994
M00999,alpha,27.404,67.606
M01000,beta,47.109,109.859
M01001,beta,92.65,175.526
M01002,alpha,82.44,159.304
M01003,gamma,26.097,48.442
M01004,gamma,81.343,141.497
M01005,gamma,32.677,41.957
M01006,gamma,64.159,86.347
M01007,gamma,44.34,69.217
M01008,alpha,62.83,112.364
M01009,beta,57.581,125.623
M01010,gamma,96.966,170.372
M01011,gamma,76.316,137.817
M01012,beta,45.149,81.294
M01013,gamma,13.351,21.473
M01014,beta,79.953,173.182
M01015,alpha,8.44,7.11
M01016,beta,94.476,193.928
M01017,gamma,22.449,56.158
M01018,gamma,61.2,91.454
M01019,alpha,90.684,171.104
M01020,gamma,85.183,142.038
M01021,alpha,40.103,63.784
M01022,alpha,95.803,176.47
M01023,alpha,94.724,184.649
M01024,beta,77.336,167.052
M01025,beta,82.726,155.356
M01026,alpha,19.054,34.612
M01027,beta,28.796,60.499
M01028,alpha,60.008,108.247
M01029,beta,72.671,148.622
M01030,alpha,2.877,12.205
M01031,beta,23.549,48.748
M01032,gamma,68.427,115.917
M01033,beta,8.574,6.59
M01034,gamma,39.755,66.281
M01035,alpha,71.334,123.346
M01036,beta,7.306,9.227
M01037,gamma,5.875,-3.793
M01038,beta,99.674,202.03
M01039,gamma,96.721,147.844
M01040,alpha,0.536,-10.57
M01041,gamma,61.966,97.643
M01042,beta,13.224,50.179
M01043,gamma,4.112,0.545
M01044,beta,93.033,189.072
M01045,beta,13.192,32.689
M01046,alpha,26.041,60.328
M01047,beta,4.416,39.831
M01048,beta,74.782,167.11
M01049,beta,28.293,77.76
M01050,beta,51.697,96.507
M01051,beta,89.267,160.168
M01052,alpha,55.567,135.535
M01053,gamma,63.665,97.377
M01054,alpha,22.986,44.234
M01055,alpha,47.025,91.604
M01056,alpha,99.52,190.663
M01057,beta,4.079,10.644
M01058,beta,45.776,112.185
M01059,alpha,84.584,156.383
M01060,alpha,20.373,32.095
M01061,beta,18.065,54.544
M01062,beta,56.325,128.848
M01063,gamma,58.568,67.705
M01064,gamma,76.685,111.98
M01065,alpha,41.642,93.131
M01066,gamma,9.431,16.502
M01067,beta,2.596,12.089
M01068,beta,37.356,65.772
M01069,alpha,83.698,153.461
M01070,gamma,65.954,112.777
M01071,beta,62.836,125.976
M01072,beta,96.977,207.008
M01073,gamma,62.236,74.155
M01074,gamma,90.688,161.697
M01075,gamma,12.932,27.374
M01076,beta,32.317,56.829
M01077,alpha,74.38,118.298
M01078,alpha,39.886,67.037
M01079,alpha,24.008,44.798
M01080,alpha,85.235,141.419
M01081,alpha,38.85,55.765
M01082,gamma,15.413,27.712
M01083,beta,49.085,83.543
M01084,beta,90.373,186.637
M01085,gamma,13.129,2.157
M01086,gamma,19.987,6.428
M01087,beta,88.541,159.101
M01088,beta,9.022,33.517
M01089,beta,81.099,151.313
M01090,beta,9.295,23.331
M01091,gamma,34.174,43.186
M01092,gamma,71.364,120.398
M01093,beta,52.728,106.886
M01094,beta,43.736,89.711
M01095,beta,30.039,87.203
M01096,beta,84.154,164.67
M01097,gamma,42.773,53.192
M01098,alpha,51.341,86.075
M01099,gamma,42.491,81.111
M01100,gamma,81.282,146.179
M01101,beta,25.486,73.241
M01102,alpha,74.052,140.272
M01103,beta,17.955,52.273
M01104,alpha,41.625,85.844
M01105,gamma,29.765,32.291
M01106,gamma,44.995,64.103
M01107,beta,34.133,95.478
M01108,alpha,18.509,22.554
M01109,gamma,98.219,165.744
M01110,beta,53.438,129.11
M01111,alpha,39.493,88.552
M01112,beta,69.181,140.989
M01113,gamma,96.58,152.729
M01114,gamma,81.313,128.085
M01115,gamma,36.073,46.467
M01116,beta,80.464,143.528
M01117,alpha,12.509,28.34
M01118,alpha,69.603,125.794
M01119,alpha,85.901,159.019
M01120,gamma,24.178,50.31
M01121,gamma,85.819,139.531
M01122,beta,14.817,40.448
M01123,beta,2.182,22.399
M01124,gamma,44.527,76.113
M01125,beta,47.149,110.0
M01126,alpha,29.483,40.79
M01127,beta,5.092,41.076
M01128,gamma,43.179,68.56
M01129,beta,84.862,166.442
M01130,gamma,99.903,153.726
M01131,alpha,48.75,71.764
M01132,gamma,93.528,159.75
M01133,beta,23.191,58.926
M01134,gamma,31.585,47.728
M01135,alpha,26.785,33.203
M01136,alpha,49.479,68.86
M01137,gamma,34.676,51.62
M01138,beta,72.621,143.39
M01139,beta,34.385,77.841
M01140,gamma,33.915,59.446
M01141,gamma,85.345,140.694
M01142,beta,72.3,131.97
M01143,beta,95.98,196.712
M01144,gamma,36.026,39.292
M01145,beta,79.976,168.323
M01146,beta,69.07,125.457
M01147,alpha,66.706,125.584
M01148,gamma,49.219,84.398
M01149,beta,94.305,175.978
M01150,gamma,4.705,-1.185
M01151,alpha,35.879,63.358
M01152,alpha,82.795,167.028
M01153,gamma,3.197,7.485
M01154,gamma,22.669,35.764
M01155,gamma,22.41,29.8
M01156,beta,76.937,164.419
M01157,gamma,26.749,48.835
M01158,gamma,60.429,113.713
M01159,alpha,70.64,138.687
M01160,beta,96.265,182.548
M01161,alpha,97.466,178.691
M01162,alpha,82.361,132.114
M01163,alpha,50.731,94.311
M01164,alpha,91.099,169.195
M01165,alpha,72.835,125.82
M01166,beta,73.255,127.226
M01167,alpha,15.43,13.23
M01168,alpha,84.86,169.511
M01169,beta,96.964,189.701
M01170,beta,34.132,75.068
M01171,gamma,17.126,18.916
M01172,beta,36.064,98.838
M01173,gamma,24.545,34.478
M01174,alpha,13.799,10.102
M01175,beta,41.341,78.218
M01176,gamma,79.461,140.203
M01177,beta,94.374,165.62
M01178,gamma,80.625,142.389
M01179,alpha,8.478,1.795
M01180,alpha,43.407,109.355
M01181,beta,75.919,142.461
M01182,gamma,5.781,-14.116
M01183,gamma,98.005,173.847
M01184,beta,41.931,67.121
M01185,gamma,70.079,129.586
M01186,beta,90.923,164.969
M01187,alpha,82.7,162.203
M01188,alpha,70.03,116.387
M01189,beta,64.388,143.673
M01190,gamma,65.204,96.468
M01191,gamma,34.525,58.72
M01192,alpha,88.097,142.509
M01193,alpha,3.697,-3.109
M01194,gamma,87.988,165.009
M01195,gamma,99.192,167.425
M01196,gamma,31.225,51.382
M01197,beta,75.705,152.798
M01198,gamma,59.25,99.06
M01199,alpha,83.223,145.619
M01200,gamma,11.044,21.743
M01201,alpha,84.158,150.609
M01202,alpha,4.773,22.847
M01203,gamma,94.134,144.603
M01204,alpha,45.315,86.519
M01205,alpha,80.539,160.429
M01206,gamma,66.552,108.723
M01207,gamma,23.384,26.678
M01208,gamma,57.277,110.049
M01209,alpha,71.435,119.6
M01210,beta,51.645,106.845
M01211,alpha,82.284,144.604
M01212,gamma,42.569,70.796
M01213,beta,8.195,52.992
M01214,beta,21.478,63.235
M01215,alpha,36.929,50.703
M01216,gamma,77.882,127.562
M01217,beta,58.43,93.757
M01218,gamma,93.104,127.063
M01219,beta,73.172,140.508
M01220,gamma,12.712,16.449
M01221,gamma,45.771,86.497
M01222,gamma,11.806,8.378
M01223,alpha,45.543,88.84
M01224,gamma,36.933,57.905
M01225,alpha,60.16,103.174
M01226,gamma,28.959,45.434
M01227,gamma,15.33,-7.872
M01228,beta,29.398,94.539
M01229,alpha,79.12,152.458
M01230,alpha,93.682,181.104
M01231,beta,88.906,179.793
M01232,beta,0.209,37.051
M01233,gamma,34.865,61.323
M01234,gamma,30.97,36.673
M01235,beta,90.029,179.719
M01236,gamma,83.368,126.699
M01237,alpha,76.195,123.817
M01238,beta,66.722,134.7
M01239,alpha,86.635,146.146
M01240,gamma,62.359,121.41
M01241,beta,23.282,45.052
M01242,gamma,89.004,159.356
M01243,gamma,27.738,46.061
M01244,alpha,57.199,106.771
M01245,gamma,30.885,35.037
M01246,alpha,19.243,21.001
M01247,gamma,54.183,88.971
M01248,gamma,18.94,-6.009
M01249,beta,50.264,122.939
M01250,gamma,17.974,24.411
M01251,alpha,27.496,55.682
M01252,gamma,44.423,91.675
M01253,gamma,60.685,96.264
M01254,alpha,33.996,63.299
M01255,alpha,41.494,81.356
M01256,beta,9.103,23.291
M01257,alpha,54.178,95.841
M01258,alpha,15.423,35.196
M01259,beta,67.861,165.66
M01260,alpha,2.717,15.954
M01261,alpha,29.802,59.057
M01262,beta,25.793,65.295
M01263,alpha,5.188,10.393
M01264,alpha,49.298,104.88
M01265,gamma,38.505,62.491
M01266,beta,55.312,117.37
M01267,alpha,48.417,79.832
M01268,alpha,26.916,53.257
M01269,gamma,67.51,111.871
M01270,alpha,30.461,70.09
M01271,beta,44.598,103.317
M01272,alpha,37.331,55.567
M01273,alpha,78.202,128.513
M01274,gamma,45.174,68.369
M01275,alpha,81.264,162.489
M01276,gamma,97.208,160.932
M01277,alpha,6.018,19.287
M01278,beta,83.949,161.585
M01279,beta,99.924,199.418
M01280,gamma,28.131,33.697
M01281,alpha,73.918,123.691
M01282,beta,69.843,136.8
M01283,alpha,72.507,155.14
M01284,alpha,61.045,109.699
M01285,beta,88.393,190.156
M01286,gamma,45.272,65.758
M01287,alpha,66.228,115.62
M01288,gamma,32.846,56.554
M01289,gamma,13.373,28.589
M01290,alpha,90.144,154.544
M01291,gamma,17.354,3.833
M01292,beta,76.247,145.881
M01293,gamma,8.115,17.056
M01294,gamma,3.095,-16.612
M01295,gamma,44.518,93.053
M01296,beta,82.747,186.413
M01297,beta,38.675,96.269
M01298,alpha,12.476,3.874
M01299,beta,93.625,175.542
M01300,alpha,75.842,139.413
M01301,gamma,92.14,152.586
M01302,gamma,62.524,106.603
M01303,gamma,22.115,60.948
M01304,alpha,28.076,46.626
M01305,gamma,70.697,119.27
M01306,gamma,39.609,68.964
M01307,beta,56.91,102.246
M01308,gamma,73.881,123.558
M01309,gamma,68.238,108.781
M01310,alpha,74.597,132.519
M01311,alpha,25.962,38.919
M01312,gamma,72.89,117.531
M01313,beta,19.185,33.239
M01314,gamma,67.773,78.476
M01315,gamma,25.292,23.256
M01316,beta,64.097,125.506
M01317,gamma,5.186,11.175
M01318,beta,27.404,59.532
M01319,gamma,51.83,68.817
M01320,alpha,88.38,159.487
M01321,alpha,4.696,21.346
M01322,beta,0.516,8.67
M01323,alpha,33.471,76.141
M01324,gamma,22.563,15.707
M01325,gamma,42.382,74.412
M01326,alpha,32.922,63.363
M01327,alpha,62.599,123.944
M01328,alpha,59.253,114.491
M01329,gamma,93.506,163.18
M01330,beta,23.836,50.286
M01331,beta,83.252,171.176
M01332,alpha,94.355,156.754
M01333,gamma,61.957,103.01
M01334,gamma,12.483,-4.28
M01335,alpha,91.671,146.91
M01336,gamma,6.503,19.266
M01337,alpha,6.2,12.462
M01338,gamma,62.619,98.902
M01339,alpha,10.183,22.02
M01340,beta,40.168,88.652
M01341,gamma,75.196,127.072
M01342,gamma,62.401,118.466
M01343,beta,38.392,91.023
M01344,gamma,10.128,-15.489
M01345,gamma,93.758,161.477
M01346,beta,58.781,107.884
M01347,alpha,10.269,14.775
M01348,alpha,90.437,160.26
M01349,alpha,63.736,114.229
M01350,gamma,62.085,114.288
M01351,alpha,24.315,45.001
M01352,beta,58.452,116.158
M01353,gamma,95.974,163.038
M01354,gamma,77.55,119.232
M01355,alpha,46.952,76.585
M01356,alpha,51.768,87.165
M01357,gamma,67.83,125.452
M01358,gamma,85.87,149.596
M01359,beta,34.382,93.867
M01360,alpha,78.526,138.822
M01361,beta,18.936,30.886
M01362,beta,59.976,125.754
M01363,beta,85.201,158.432
M01364,beta,41.87,85.987
M01365,alpha,10.485,37.647
M01366,beta,21.941,35.979
M01367,alpha,63.877,110.281
M01368,alpha,23.902,30.418
M01369,gamma,76.835,136.908
M01370,beta,20.532,31.954
M01371,alpha,82.608,150.385
M01372,beta,3.002,20.475
M01373,alpha,14.24,9.854
M01374,beta,4.39,29.102
M01375,alpha,19.912,34.048
M01376,beta,71.884,152.634
M01377,beta,84.753,167.756
M01378,alpha,84.288,159.642
M01379,alpha,2.099,-1.378
M01380,alpha,33.838,50.392
M01381,alpha,30.507,56.264
M01382,gamma,17.136,42.655
M01383,gamma,97.71,190.668
M01384,gamma,6.538,1.409
M01385,alpha,88.272,164.188
M01386,gamma,37.82,63.775
M01387,beta,31.795,56.812
M01388,alpha,76.308,144.664
M01389,gamma,18.91,3.375
M01390,beta,24.717,54.808
M01391,gamma,79.561,149.557
M01392,gamma,88.583,132.655
M01393,alpha,72.73,135.502
M01394,gamma,6.487,-19.055
M01395,gamma,38.812,74.658
M01396,beta,49.859,91.269
M01397,beta,17.9,43.798
M01398,beta,71.565,129.57
M01399,beta,47.376,85.346
M01400,gamma,64.974,98.599
M01401,alpha,21.953,46.481
M01402,beta,21.859,77.244
M01403,beta,88.871,149.649
M01404,beta,25.453,48.634
M01405,alpha,13.433,35.42
M01406,beta,23.018,62.988
M01407,alpha,46.525,74.588
M01408,beta,43.251,84.13
M01409,beta,80.45,154.995
M01410,alpha,44.169,90.255
M01411,beta,64.535,128.012
M01412,gamma,51.279,86.155
M01413,gamma,7.816,2.643
M01414,alpha,7.135,21.352
M01415,alpha,54.603,89.247
M01416,beta,30.272,85.049
M01417,gamma,84.545,148.133
M01418,alpha,99.841,194.925
M01419,gamma,73.982,124.507
M01420,beta,28.185,64.911
M01421,beta,78.313,145.889
M01422,gamma,75.781,133.363
M01423,alpha,47.2,64.716
M01424,alpha,86.547,154.173
M01425,alpha,22.693,40.774
M01426,gamma,58.7,82.049
M01427,gamma,75.762,124.077
M01428,alpha,31.307,43.202
M01429,alpha,42.879,88.84
M01430,beta,44.997,91.542
M01431,gamma,3.01,11.103
M01432,beta,94.335,203.511
M01433,alpha,49.98,83.878
M01434,alpha,41.915,66.008
M01435,gamma,75.263,126.955
M01436,beta,32.608,55.375
M01437,alpha,56.758,108.599
M01438,beta,56.819,118.594
M01439,gamma,91.375,143.791
M01440,beta,20.42,46.406
M01441,beta,6.371,16.172
M01442,beta,56.952,126.427
M01443,beta,63.9,127.543
M01444,gamma,55.291,96.453
M01445,alpha,82.647,146.535
M01446,alpha,6.949,10.815
M01447,beta,28.382,67.961
M01448,alpha,45.466,99.355
M01449,beta,51.853,119.553
M01450,beta,39.111,106.371
M01451,alpha,12.914,6.003
M01452,beta,95.51,196.622
M01453,alpha,12.993,26.897
M01454,gamma,66.479,121.938
M01455,alpha,60.371,123.484
M01456,gamma,71.677,113.061
M01457,beta,27.544,71.231
M01458,alpha,82.458,148.736
M01459,gamma,80.757,109.357
M01460,beta,46.02,93.574
M01461,gamma,3.908,11.577
M01462,beta,34.678,86.792
M01463,gamma,79.235,115.307
M01464,alpha,41.505,88.835
M01465,alpha,89.996,160.597
M01466,gamma,18.344,9.815
M01467,gamma,9.553,6.058
M01468,alpha,27.378,45.88
M01469,gamma,53.774,84.563
M01470,gamma,72.241,116.171
M01471,alpha,90.874,146.322
M01472,alpha,99.532,189.912
M01473,alpha,75.54,115.113
M01474,beta,45.094,95.593
M01475,beta,20.737,55.01
M01476,gamma,69.449,115.781
M01477,gamma,46.19,66.416
M01478,alpha,39.667,81.479
M01479,alpha,25.061,43.458
M01480,gamma,74.868,118.475
M01481,beta,46.136,113.291
M01482,gamma,95.002,169.706
M01483,alpha,47.079,83.446
M01484,alpha,60.699,116.258
M01485,alpha,29.414,41.279
M01486,alpha,67.139,118.269
M01487,alpha,67.738,128.367
M01488,alpha,71.441,137.879
M01489,gamma,53.23,82.306
M01490,gamma,81.151,137.409
M01491,gamma,66.254,106.264
M01492,gamma,30.832,40.778
M01493,alpha,59.821,118.818
M01494,alpha,92.882,170.704
M01495,beta,90.876,179.244
M01496,alpha,98.929,180.124
M01497,beta,82.053,160.849
M01498,alpha,79.692,139.524
M01499,gamma,16.788,26.412
M01500,alpha,81.562,157.599
M01501,beta,56.205,119.2
M01502,gamma,39.506,68.704
M01503,beta,12.08,39.287
M01504,alpha,1.499,13.677
M01505,gamma,31.624,36.721
M01506,alpha,65.796,126.961
M01507,beta,64.994,128.943
M01508,alpha,41.11,77.284
M01509,gamma,49.958,98.839
M01510,gamma,17.146,19.729
M01511,alpha,59.987,126.377
M01512,gamma,92.455,154.261
M01513,gamma,13.293,23.117
M01514,gamma,31.797,65.363
M01515,gamma,48.213,68.408
M01516,gamma,44.891,84.944
M01517,gamma,64.059,107.066
M01518,alpha,23.261,57.741
M01519,gamma,75.894,132.878
M01520,beta,75.725,157.5
M01521,gamma,7.939,13.446
M01522,alpha,15.167,38.028
M01523,alpha,64.204,117.013
M01524,beta,73.926,167.303
M01525,beta,13.427,30.48
M01526,alpha,52.087,112.988
M01527,beta,64.805,131.02
M01528,gamma,33.127,52.18
M01529,alpha,20.582,62.332
M01530,alpha,80.145,153.198
M01531,gamma,71.95,110.356
M01532,beta,18.355,40.652
M01533,gamma,0.604,-5.786
M01534,alpha,5.211,6.045
M01535,alpha,93.827,174.111
M01536,gamma,83.122,144.879
M01537,alpha,23.631,59.539
M01538,beta,16.416,53.642
M01539,alpha,24.492,48.135
M01540,beta,57.642,126.883
M01541,gamma,20.14,35.175
M01542,beta,39.824,76.226
M01543,alpha,47.071,70.177
M01544,beta,76.032,159.539
M01545,beta,1.981,1.261
M01546,beta,59.518,138.095
M01547,alpha,55.285,104.798
M01548,beta,45.36,107.134
M01549,beta,56.214,105.459
M01550,gamma,46.926,75.764
M01551,alpha,91.613,188.763
M01552,gamma,72.535,121.19
M01553,beta,40.456,77.44
M01554,gamma,37.314,63.232
M01555,beta,30.781,75.005
M01556,alpha,99.247,178.283
M01557,alpha,38.483,62.044
M01558,beta,95.71,184.118
M01559,gamma,34.858,48.417
M01560,beta,69.646,123.885
M01561,gamma,38.533,51.334
M01562,beta,3.451,25.362
M01563,beta,63.095,120.295
M01564,gamma,14.788,0.01
M01565,gamma,45.547,68.126
M01566,gamma,57.834,85.757
M01567,gamma,84.152,162.015
M01568,gamma,71.161,119.685
M01569,beta,39.767,64.463
M01570,gamma,90.995,140.492
M01571,beta,16.582,28.345
M01572,gamma,96.768,172.348
M01573,gamma,88.665,132.857
M01574,gamma,86.942,136.442
M01575,alpha,63.618,116.353
M01576,alpha,26.902,37.551
M01577,alpha,93.002,159.149
M01578,alpha,81.639,153.11
M01579,alpha,9.687,19.292
M01580,beta,65.452,120.47
M01581,gamma,43.095,71.01
M01582,alpha,19.802,42.542
M01583,alpha,50.261,102.42
M01584,alpha,18.564,43.331
M01585,alpha,74.992,137.832
M01586,beta,44.073,87.034
M01587,gamma,10.92,6.453
M01588,alpha,37.773,64.291
M01589,beta,6.426,35.193
M01590,beta,67.28,137.731
M01591,alpha,0.951,-1.305
M01592,gamma,58.245,124.596
M01593,alpha,9.684,15.997
M01594,gamma,52.007,83.41
M01595,beta,93.213,172.057
M01596,beta,33.655,77.4
M01597,gamma,89.015,172.337
M01598,beta,66.508,134.637
M01599,beta,61.081,149.035
M01600,alpha,0.308,-3.214
M01601,gamma,40.181,76.293
M01602,alpha,60.191,84.869
M01603,gamma,27.947,33.395
M01604,beta,45.192,75.41
M01605,gamma,65.888,96.359
M01606,alpha,0.313,2.486
M01607,gamma,95.755,163.202
M01608,beta,87.343,170.188
M01609,gamma,32.553,33.194
M01610,beta,73.92,153.677
M01611,alpha,34.833,89.222
M01612,beta,98.687,181.959
M01613,gamma,90.52,151.949
M01614,alpha,71.194,118.188
M01615,gamma,87.623,151.863
M01616,alpha,12.786,4.412
M01617,alpha,30.135,47.207
M01618,beta,16.805,31.845
M01619,beta,95.505,172.034
M01620,alpha,21.164,39.769
M01621,gamma,69.991,145.944
M01622,alpha,16.024,52.224
M01623,beta,90.265,178.343
M01624,beta,66.593,126.444
M01625,gamma,12.31,21.919
M01626,gamma,49.196,89.731
M01627,gamma,33.28,52.479
M01628,gamma,6.467,17.147
M01629,beta,37.701,78.883
M01630,beta,65.392,113.529
M01631,gamma,96.625,155.854
M01632,beta,11.569,39.199
M01633,alpha,11.138,11.416
M01634,alpha,74.462,147.589
M01635,alpha,57.284,110.356
M01636,beta,57.692,126.314
M01637,alpha,31.08,49.371
M01638,beta,97.985,187.198
M01639,beta,77.128,162.059
M01640,alpha,51.975,66.82
M01641,gamma,59.078,97.619
M01642,beta,31.593,72.88
M01643,beta,83.722,152.462
M01644,gamma,28.339,41.024
M01645,gamma,66.535,115.685
M01646,gamma,32.014,29.89
M01647,gamma,99.034,197.338
M01648,gamma,57.397,121.835
M01649,gamma,82.869,120.445
M01650,beta,5.881,26.171
M01651,beta,15.27,37.657
M01652,alpha,70.041,103.284
M01653,alpha,92.316,170.022
M01654,gamma,39.181,37.184
M01655,gamma,91.238,155.582
M01656,beta,33.741,77.843
M01657,gamma,47.342,68.29
M01658,alpha,52.784,104.76
M01659,beta,28.236,82.338
M01660,gamma,39.377,52.21
M01661,alpha,32.342,64.384
M01662,alpha,84.981,129.717
M01663,gamma,30.407,35.853
M01664,beta,69.596,127.271
M01665,beta,89.722,181.921
M01666,alpha,73.532,153.345
M01667,alpha,36.223,68.644
M01668,alpha,37.656,63.408
M01669,beta,67.945,139.309
M01670,beta,97.416,193.908
M01671,alpha,94.506,180.804
M01672,beta,59.339,131.522
M01673,alpha,62.697,110.256
M01674,alpha,39.664,73.186
M01675,beta,68.798,155.584
M01676,beta,77.585,149.737
M01677,gamma,65.852,112.696
M01678,gamma,38.21,35.131
M01679,gamma,65.32,103.497
M01680,alpha,12.205,26.461
M01681,gamma,66.879,107.797
M01682,gamma,98.735,167.564
M01683,beta,27.372,63.647
M01684,alpha,38.396,47.78
M01685,gamma,70.274,114.636
M01686,beta,6.35,32.353
M01687,gamma,18.489,24.202
M01688,gamma,81.746,134.931
M01689,gamma,48.856,62.144
M01690,gamma,81.883,135.504
M01691,gamma,12.409,12.921
M01692,alpha,18.066,1.361
M01693,gamma,69.522,128.199
M01694,beta,12.305,37.586
M01695,alpha,57.508,100.56
M01696,beta,85.145,164.049
M01697,alpha,8.461,22.389
M01698,gamma,17.16,28.022
M01699,gamma,0.009,-19.053
M01700,gamma,90.462,180.391
M01701,beta,65.916,118.839
M01702,gamma,31.294,51.669
M01703,beta,60.617,105.838
M01704,gamma,81.976,136.339
M01705,alpha,3.673,21.481
M01706,alpha,95.742,190.698
M01707,gamma,55.207,81.264
M01708,gamma,62.231,96.742
M01709,alpha,54.985,97.808
M01710,alpha,40.006,89.354
M01711,alpha,94.474,157.367
M01712,alpha,53.59,70.962
M01713,alpha,62.957,111.256
M01714,gamma,19.263,41.541
M01715,beta,56.364,107.851
M01716,alpha,41.969,64.044
M01717,alpha,31.636,59.699
M01718,gamma,24.75,23.166
M01719,beta,12.462,49.09
M01720,alpha,32.936,68.929
M01721,alpha,36.282,60.504
M01722,alpha,27.365,57.555
M01723,alpha,37.716,79.371
M01724,alpha,78.273,138.609
M01725,alpha,17.573,30.238
M01726,beta,9.554,22.024
M01727,beta,70.046,151.161
M01728,gamma,9.907,-3.542
M01729,alpha,17.075,41.991
M01730,beta,80.608,156.162
M01731,gamma,96.8,148.433
M01732,beta,47.686,97.646
M01733,alpha,25.906,39.28
M01734,gamma,12.637,-4.737
M01735,beta,56.756,114.234
M01736,gamma,97.45,192.117
M01737,gamma,77.753,124.511
M01738,beta,18.31,36.717
M01739,beta,79.847,149.085
M01740,beta,52.059,108.571
M01741,gamma,88.139,152.659
M01742,alpha,94.745,161.118
M01743,beta,77.058,163.298
M01744,alpha,72.995,117.321
M01745,alpha,16.511,48.239
M01746,gamma,92.959,164.312
M01747,alpha,96.217,160.485
M01748,gamma,13.643,21.134
M01749,beta,51.501,132.814
M01750,gamma,12.469,12.121
M01751,alpha,61.629,127.763
M01752,gamma,42.498,55.946
M01753,gamma,74.967,125.654
M01754,gamma,68.408,132.79
M01755,alpha,60.737,126.865
M01756,gamma,90.38,148.723
M01757,alpha,7.512,21.197
M01758,alpha,42.272,63.895
M01759,beta,17.048,56.388
M01760,gamma,24.977,32.898
M01761,gamma,85.078,149.366
M01762,beta,29.355,60.099
M01763,alpha,0.223,-7.75
M01764,beta,92.911,173.429
M01765,gamma,51.553,104.819
M01766,gamma,84.835,125.267
M01767,alpha,35.574,56.023
M01768,beta,10.716,27.179
M01769,beta,89.02,179.62
M01770,alpha,43.08,87.881
M01771,alpha,8.474,8.348
M01772,alpha,91.311,163.737
M01773,alpha,15.563,23.257
M01774,beta,37.431,75.221
M01775,beta,42.834,101.163
M01776,alpha,98.937,198.05
M01777,gamma,83.936,146.983
M01778,beta,0.581,25.582
M01779,gamma,19.846,26.998
