assay_id,compound_id,compound_name,smiles,target_gene,dose,mol_weight,logp,pct_inhibition
R0214,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,2.5 mg/kg,240.26,-1.01,90.0
R0215,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,5 mg/kg,240.26,-1.01,30.9
R0216,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,100 mg,240.26,-1.01,32.6
R0217,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,2.5 mg/kg,240.26,-1.01,29.6
R0218,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,25 mg,240.26,-1.01,19.2
R0219,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,2.5 mg/kg,240.26,-1.01,94.0
R0220,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,2.5 mg/kg,240.26,-1.01,74.8
R0221,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,25 mg,240.26,-1.01,61.6
R0222,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,50 mg,240.26,-1.01,40.6
R0223,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,0.5 mg/kg,240.26,-1.01,0.0
R0224,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,50 mg,240.26,-1.01,21.0
R0225,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,0.5 mg/kg,240.26,-1.01,58.0
R0226,C018,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,OPRM1,2.5 mg/kg,240.26,-1.01,32.2
R0227,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,100 mg,274.39,3.23,79.4
R0228,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,0.5 mg/kg,274.39,3.23,73.6
R0229,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,2.5 mg/kg,274.39,3.23,8.5
R0230,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,5 mg/kg,274.39,3.23,66.4
R0231,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,5 mg/kg,274.39,3.23,33.5
R0232,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,0.5 mg/kg,274.39,3.23,95.2
R0233,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,25 mg,274.39,3.23,67.3
R0234,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,25 mg,274.39,3.23,80.7
R0235,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,25 mg,274.39,3.23,2.4
R0236,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,25 mg,274.39,3.23,98.4
R0237,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,5 mg/kg,274.39,3.23,85.0
R0238,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,10 mg,274.39,3.23,45.5
R0239,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,2.5 mg/kg,274.39,3.23,57.6
R0240,C019,Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,SI,2.5 mg/kg,274.39,3.23,69.6
R0241,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,2.5 mg/kg,297.53,0.21,0.6
R0242,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,0.5 mg/kg,297.53,0.21,86.0
R0243,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,10 mg,297.53,0.21,77.8
R0244,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,25 mg,297.53,0.21,17.6
R0245,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,2.5 mg/kg,297.53,0.21,51.8
R0246,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,10 mg,297.53,0.21,55.7
R0247,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,0.5 mg/kg,297.53,0.21,12.1
R0248,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,25 mg,297.53,0.21,80.1
R0249,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,2.5 mg/kg,297.53,0.21,53.1
R0250,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,5 mg/kg,297.53,0.21,59.5
R0251,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,0.5 mg/kg,297.53,0.21,89.1
R0252,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,5 mg/kg,297.53,0.21,81.5
R0253,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,5 mg/kg,297.53,0.21,42.7
R0254,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,5 mg/kg,297.53,0.21,44.6
R0255,C020,Salicylate,O=C(O)c1ccccc1O,PTGS2,25 mg,297.53,0.21,74.4
